,productsListId,name,productName,url,stock,priceWithGST,createdAt,companyName,runtime
75,91,GPS/GLONASS GNSS Antenna for Raspberry Pi HAT and Arduino Shield with 3 Meter Cable,GPS GNSS Antenna for Raspberry Pi HAT,https://robu.in/product/gps-glonass-gnss-antenna-for-raspberry-pi-hat-and-arduino-shield-with-3-meter-cable/,0,179,27-04-2024,ROBU,1
76,92,MINI V2.1 ELM327 OBD2 Bluetooth Interface Auto Car Scanner,Mini elm327 Bluetooth OBD2,https://robu.in/product/mini-v2-1-elm327-obd2-bluetooth-interface-auto-car-scanner/,518,254,27-04-2024,ROBU,1
77,93,Water Level Depth Detection Sensor for Arduino,High Sensitivity Water Sensor compatible with Arduino,https://robu.in/product/water-level-sensor-depth-detection-water-sensor-arduino/,635,22,27-04-2024,ROBU,1
78,94,Anti-Vibration Shock Absorber for APM/KK/MWC/PixHawk,Anti-Vibration Shock Absorber for APM-KK-MWC-PixHawk,https://robu.in/product/glass-fiber-flight-controller-anti-vibration-set-shock-absorber-apmkkmwc/,1080,175,27-04-2024,ROBU,1
79,95,Water Flow Sensor (Sea) YFS401 Flowmeter 0.3-6L/min3.5mm White,YF-S401 1/8 inch Water Flow Sensor,https://robu.in/product/water-flow-sensor-sea-yfs401-flowmeter-0-3-6l-min3-5mm-white/,47,224,27-04-2024,ROBU,1
80,96,"FY-12 Mini LCD Digital Thermometer ,Hygrometer",Mini Digital Thermometer Humidity Hygrometer,https://robu.in/product/fy-12-mini-lcd-digital-thermometer-hygrometer/,64,136,27-04-2024,ROBU,1
81,98,Tiny RTC Real Time Clock DS1307 I2C IIC Module for Arduino,DS1307 Real Time Clock Module,https://robu.in/product/tiny-rtc-real-time-clock-ds1307-i2c-iic-module-for-arduino/,389,44,27-04-2024,ROBU,1
82,99,"433MHz 12V 4 Channel, Relay Module Wireless, Remote Control Switch, without Battery",4 Channel Relay Wireless Module,https://robu.in/product/433mhz-12v-4-channel-relay-module-wireless-with-rf-remote-control-switch-without-battery/,45,692,27-04-2024,ROBU,1
83,100,CP2102 MICRO USB to UART TTL Module 6Pin Serial Converter UART STC Replace FT232,CP2102 Micro USB Module,https://robu.in/product/cp2102-micro-usb-to-uart-ttl-module-6pin-serial-converter-uart-stc-replace-ft232/,0,179,27-04-2024,ROBU,1
84,101,Raspberry Pi Pico,Raspberry Pi Pico,https://robu.in/product/raspberry-pi-pico/,24,315,27-04-2024,ROBU,1
85,102,SanDisk Micro SDXC USH-I 128GB Class 10 Memory Card,SanDisk 128 GB Micro SDXC Memory Card,https://robu.in/product/sandisk-micro-sdxc-ush-i-128gb-class-10-memory-card/,13,1049,27-04-2024,ROBU,1
86,104,DSO138 2.4" TFT Handheld Pocket-size Digital Oscilloscope Kit DIY Parts Electronic Learning Set Soldered,DSO138 DIY 2.4 inch Oscilloscope Kit,https://robu.in/product/dso138-2-4-tft-handheld-pocket-size-digital-oscilloscope-kit-diy-parts-electronic-learning-set-1msps/,112,1586,27-04-2024,ROBU,1
87,105,1.8 Inch TFT LCD Module 128 x 160 with 4 IO,1.8 inch TFT LCD Module,https://robu.in/product/62060/,0,429,27-04-2024,ROBU,1
88,106,Raspberry Pi Compute Module 4 I/O Board,Raspberry Pi Compute Module 4 IO Board,https://robu.in/product/raspberry-pi-compute-module-4-i-o-board/,140,3260,27-04-2024,ROBU,1
89,108,Raspberry Pi 4 Black Compact ABS Case,Raspberry Pi 4 ABS Black Case with Fan,https://robu.in/product/raspberry-pi-4-black-compact-abs-case/?gclid=EAIaIQobChMI6KW59ZTA_QIV7pNmAh3nTwpKEAQYBCABEgLqSvD_BwE,62,145,27-04-2024,ROBU,1
90,109,"4000W High-Power Thyristor Electronic Regulator, Dimming Speed Regulation, with Shell",220V 4000W SCR Voltage Regulator,https://robu.in/product/4000w-high-power-thyristor-electronic-regulator-dimming-speed-regulation-with-shell/,3,249,27-04-2024,ROBU,1
91,114,DC 12V Cabinet Door Lock Electric Lock Assembly Solenoid,12V DC Solenoid for Electric Door Lock,https://robu.in/product/dc-12v-cabinet-door-lock-electric-lock-assembly-solenoid/,0,330,27-04-2024,ROBU,1
92,1101,BD243 DIY Prototyping Kit of Mini Tesla Coil,Mini DIY Tesla Coil Kit - Solderless,https://robu.in/product/bd243-diy-prototyping-kit-of-mini-tesla-coil/,140,176,27-04-2024,ROBU,1
93,115,BD243 DIY Prototyping Kit of Mini Tesla Coil,DIY Tesla Coil Mini Kit Wireless Electric Power Transmission,https://robu.in/product/bd243-diy-prototyping-kit-of-mini-tesla-coil/,140,176,27-04-2024,ROBU,1
94,116,Official Raspberry Pi Mouse (White/Red),Raspberry Pi Official Mouse (White-Red),https://robu.in/product/official-raspberry-pi-mouse/,0,599,27-04-2024,ROBU,1
95,117,SanDisk Micro SDXC USH-I 64GB Class 10 Memory Card,SanDisk 64GB Micro SD-SDHC Memory Card,https://robu.in/product/sandisk-micro-sdxc-ush-i-64gb-class-10-memory-card/?gclid=EAIaIQobChMI3fCXg_vr_QIVryErCh1wwQAzEAQYCCABEgIaofD_BwE,13,599,27-04-2024,ROBU,1
96,119,12V DC 1/2" Electric Solenoid Water Air Valve Switch (Normally Closed),Solenoid valve 12V,https://robu.in/product/dc12v-plastic-electric-12v-water-solenoid-valve-electric-solenoid-valve-magnetic-nc-water-air-inlet-flow-switch-nc-12/,0,239,27-04-2024,ROBU,1
97,121,MAX6675 Module + K Type Thermocouple Sensor Measure 1024°C Temperature,DC 3-5V MAX6675 Module + K Type Thermocouple Temperature Sensor Thermocouple Sensor Set M6 Screw and Jumper Wire F to F 5pcs,https://robu.in/product/max6675-module-k-type-thermocouple-sensor-measure-1024-degrees-temperature/,9,200,27-04-2024,ROBU,1
98,124,USB 2.0 A-B Male Printer Cable 0.3m,USB A-B Cable (30cm)(Colour may vary),https://robu.in/product/usb-2-0-a-b-male-printer-cable-0-3m/,93,35,27-04-2024,ROBU,1
99,126,1602 LCD Board Keypad Shield Blue Backlight,16X2 LCD Keypad Shield for Arduino,https://robu.in/product/1602-lcd-board-keypad-shield-blue-backlight/,67,186,27-04-2024,ROBU,1
100,127,Original Arduino Due Board A000062,Arduino Due Original,https://robu.in/product/arduino-due-arm-cortex-m3-cpu-board/,694,4009,27-04-2024,ROBU,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
